name,citymeetings_url,start_time_in_seconds,end_time_in_seconds,for_or_against,borough,neighborhood,stated_affiliations,key_points
Martha Dwyer,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/martha-dwyer-on-concerns-about-the-city-of-yes-for,13725.286,13905.091,Against,Manhattan,Unknown,[],"[Quayo (City of Yes for Housing Opportunity) would deprive citizens of a say in the city's future, The initiative gives power to the mayor and developers, It does not mandate affordable housing, Affordable housing built under this plan can become market rate in 30 years, The plan would result in less open space, less green space, more density and congestion, There are no limitations on height and setbacks, Concerns about developers manipulating lot sizes to build oversized buildings, Examples of extremely tall buildings with empty space or amusement facilities, Fear that it would turn Manhattan into a city of expensive towers]"
Howard Slatkin,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/howard-slatkin-executive-director-of-citizen,13968.477,14154.87,For,Unknown,Unknown,[Citizen Housing and Planning Council],"[The proposed zoning text amendments are an important step forward for NYC zoning, Current zoning regulations have created a persistent housing shortage, Zoning for scarcity creates unintended consequences that hurt everyone, especially those with the least, Current regulations often produce absurd results, such as losing housing units in some neighborhoods, The proposal will help reverse zoning for scarcity and better align with housing needs of New Yorkers, Zoning changes must be accompanied by sustained public investment and other regulatory changes, Suggests modifications to the proposal, including a permanent off-site option for UAP program and vesting certain existing development rights]"
Alia Soomro,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/alia-soomro-from-the-new-york-league-of,14953.174,15139.688,For,Unknown,Unknown,[New York League of Conservation Voters],"[Support for City of Yes for Housing Opportunity, Addressing both climate crisis and housing shortage, Removing parking mandates to encourage alternative transportation and free up land for housing, Support for transit-oriented development, town center zoning, accessory dwelling units, and residential conversions, Proposal will not significantly change neighborhood character or overburden city infrastructure, Proposal does not allow new development on Parkland, Urging approval of zoning text amendment without weakening provisions]"
Basha Gerhards,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/basha-gerhards-senior-vice-president-of-planning,15168.902,15328.182,For,Unknown,Unknown,[Real Estate Board of New York],"[Support for the City of Yes for Housing Opportunity initiative, Approval of transit-oriented development, accessory dwelling units, and parking changes, Support for new R11 and R12 districts to unlock housing opportunities, Support for expanded radius of potential receiving sites for landmark development rights, Importance of Article 1 Chapter 5 changes to facilitate office-to-residential conversions, Concern about elimination of existing voluntary inclusionary housing and inclusionary housing certificate program, Opposition to reduction in maximum preventive density for market-rate housing in Lower Manhattan and Midtown districts, Need for carefully crafted vesting and transition provisions to protect existing housing pipeline, Recommendation for refinement of bulk rules to accommodate additional density, Urge to treat conversions, new construction, and enlargements equally in determining parking, Recognition of the proposal as a significant change to zoning text]"
Maulin Mehta,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/maulin-mehta-from-regional-plan-association-on,15361.632,15542.088,For,Unknown,Unknown,[Regional Plan Association],"[New York City is experiencing a significant housing crisis with low vacancy rates and high demand for affordable housing, Current zoning regulations limit housing construction in many neighborhoods, The proposal will facilitate the construction of more homes across all five boroughs, The initiative includes expansion of inclusionary zoning, office conversions, middle-density housing, transit-oriented development, accessory dwelling units, and elimination of parking minimums, The proposal is designed to equitably and reasonably expand housing stock in every neighborhood, Without action, housing costs are projected to rise by 25% by 2035, leading to more housing cost burdens, The current housing deficit of over half a million units could double in the next decade without intervention]"
Will Kitcher,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/will-kitcher-on-personal-experiences-with-diverse,15547.074,15742.27,For,Brooklyn,Sheepshead Bay,[],"[Support for missing middle housing, Personal experience living in various types of housing in Brooklyn, Support for repealing parking mandates, Need for affordable housing options for young people moving out, Belief that lifting parking mandates will allow more housing to be built, Observation that some parking lots in Sheepshead Bay are underutilized, Assertion that developers will still provide parking where needed, Support for additional housing near subway stations]"
Samir Lavingia,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/samir-lavingia-former-manhattan-community-board-5,15746.208,15931.602,For,Manhattan,Midtown,[Manhattan Community Board 5],"[Personal experience with rent burden and risk of displacement, Support for adding more housing in every neighborhood, Excitement about Universal Affordable Housing (UAP) proposal, Support for office to residential conversions, Belief that City of Yes will bring more affordable homes, Support for all proposals in City of Yes for low, medium, and high density districts, Desire for rent reduction through increased housing supply]"
Olive Freud,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/olive-freud-president-of-the-committee-for,16006.036,16194.06,Against,Manhattan,Unknown,[Committee for Environmentally Sound Development],"[Concerned about global warming and its impact on city planning, Opposes increased density and congestion in Manhattan, Criticizes the lack of mandated affordable housing in the plan, Worried about loss of open space, light, and air in the city, Objects to reduced distances between buildings and potential infill development, Concerns about the reduction of public input and City Council involvement in decision-making, Argues that Manhattan is already the densest borough and shouldn't be made denser, Criticizes the reliance on developers for affordable housing, Emphasizes the importance of preserving existing affordable housing]"
Suwen Cheong,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/suwen-cheong-chair-of-the-land-use-committee-of,16214.417,16415.69,Against,Brooklyn,Prospect Lefferts Gardens,[Brooklyn Community Board 9],"[CB9 overwhelmingly opposes the City of Yes for Housing Opportunity in its entirety, Two-thirds of CB9 district is covered by non-contextual R6 and R7 zoning, which is slated for the highest density increases, The Universal Affordability Program (UAP) would lead to significant increases in FAR, much larger than 20%, Most lots in these districts are already significantly underbuilt, UAP income and rent levels are higher than the district's median income, The proposal would push land prices down enough to demolish thousands of small buildings, Displacement of current residents during construction without compensation, New housing will not be affordable for the median family in the district, The proposal is seen as an 'extinction level event' for the community, Rent-stabilized apartment buildings face threat of demolition or significant alteration, Concerns about increased eviction pressure on long-time tenants, The proposal doesn't consider that different areas are starting from different places in terms of density and affordability]"
Robert Fanuzzi,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/robert-fanuzzi-president-of-bronx-council-for,16602.78,16787.209,Against,Bronx,Unknown,[Bronx Council for Environmental Quality],"[The City of Yes for Housing proposal and its EIS (Environmental Impact Statement) are fatally flawed, The EIS needs to document more specific housing needs, Affordability should be scoped as a need, not just a desired outcome, The EIS should include alternative analyses to measure least impactful steps, The proposal does not adequately address sustainability and climate adaptation needs, The proposal rewards the real estate industry without addressing specific housing needs, A new or supplemental EIS is needed to realistically calculate housing growth and its impact on communities]"
Claudia Valentino,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/claudia-valentino-president-of-forest-hills,16816.38,17004.633,Against,Queens,Forest Hills,[Forest Hills Community And Civic Association],"[Neighborhoods have unique characters that should be preserved, Community review should remain with communities, Downzoning was done to protect infrastructure and prevent inappropriate construction, ADUs are not suitable for small lot sizes in NYC, Transit zones with larger buildings looming over houses are not acceptable, Adding stories to mom and pop stores is not workable, Concerns about gentrification based on Columbia University study, The language used in the initiative is divisive, The city is wrongly blaming communities for the housing crisis, A new plan is needed instead of City of Yes]"
Jackson Chabot,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/jackson-chabot-from-open-plans-on-lifting-parking,17036.695,17220.666,For,Unknown,Unknown,[Open Plans],"[Lifting parking mandates is necessary for improved livability, Parking mandates contribute to climate change and unsafe streets, Requiring parking encourages car ownership and perpetuates a cycle of demand for more parking, Lifting mandates encourages use of public and active transportation, Surface parking lots create dead zones in neighborhoods, Prioritizing people over parking can create more public space and a more livable city, Developers have stated they will still build parking even when not required, Lifting parking requirements is necessary for future housing needs]"
Tyler Baldwin,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/tyler-baldwin-from-astoria-queens-on-support-for,17284.32,17374.299,For,Queens,Astoria,[],"[City of Yes will provide much-needed housing supply in an era of record low vacancy rates and record-high rents, New York City is facing a cost of living crisis, causing middle-class families to leave the city, The under-5 population has fallen by 18% since April 2020, Housing affordability affects vulnerable populations, with 8% of transgender adults experiencing homelessness in the past year, New housing creation provides opportunities for good jobs and family formation, Public servants are being pushed out due to the high cost of living, The amendment will help essential workers like NYPD officers and firefighters afford housing in the city, The proposal will allow for building generational wealth through coops and condos]"
Peter Estes,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/peter-estes-representing-bj-jones-of-the-new-new,17382.182,17574.742,For,Unknown,Unknown,[The New New York],"[Strong support for the City of Yes for Housing Opportunity, Aligns with the New New York panel's action plan for equitable recovery, Helps tackle 3 key initiatives: reducing barriers to housing growth, increasing supportive housing supply, and making business districts more live-work-play, Allows for contextual missing middle small apartment buildings near transit, Simplifies housing development on faith-based institution campuses, Universal affordability preference paired with 485x incentive can be a game changer for affordable and supportive housing, Allows modest apartment buildings above businesses on Commercial Streets, Makes office to residential conversions easier, Creates new high-density zoning districts with strong affordability requirements, Addresses decades-long imbalance between housing demand and supply, Will benefit New Yorkers at all income levels, Ensures New York remains a livable city and magnet for global talent]"
Paul Selver,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/paul-selver-chair-of-zoning-and-design-committee,17588.695,17775.04,For,Unknown,Unknown,"[Real Estate Board of New York, Kramer Levin]","[Proposal for a vesting provision in the City of YES for Housing Opportunity zoning change, Current vesting standards are outdated and need to be updated to reflect modern challenges in real estate development, Proposed vesting provision based on principles of fairness and due process, Four main parts of the proposal: filing work permit within 6 months, 20% enlargement allowance, extended timelines for large and 421A buildings, and protection against frivolous challenges, Need to protect investments in producing affordable housing under current Inclusionary Housing program]"
Mark Ginsberg,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/mark-ginsberg-president-of-citizens-housing,17832.256,18018.695,For,Unknown,Unknown,"[Citizens Housing Planning Council, Curtis + Ginsberg Architects]","[Strong support for the proposed citywide text amendment, The changes would be the biggest and most important set of zoning reform since 1961, Essential step to address New York City's affordable housing crisis, Expansion of Ayers to UAP creates wider range of affordable housing options, Prioritizes housing needs over vehicle storage, Reducing parking requirements can lower housing costs, Importance of allowing more housing in every neighborhood, Need for simplicity in regulations to avoid delays and limitations, Maintaining flexibility for future unanticipated changes, Ensuring existing projects can be completed without disruption, Urges approval of the proposed amendment with only necessary changes]"
David Holowka,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/david-holowka-architect-and-chelsea-resident-on,18151.643,18338.906,Against,Manhattan,Chelsea,[],"[City of Yes will discourage development in areas with vacant and underbuilt sites, The initiative will encourage luxury housing development in already built-up areas, Boosting supply hasn't lowered housing costs in other cities like Vancouver, Areas in New York with the most new housing have seen housing costs rise, not fall, The plan may lead to a loss of existing affordable housing, Development rights transfers may incentivize tearing down affordable apartment buildings, New luxury buildings may include fewer units than the buildings they replace, The market seems incapable of producing anything but luxury units in cities with high real estate investment value, Suggests studying alternatives like Vienna's social housing and Westchester's affordability mandates, Criticizes the lack of consultation with zoning experts like George Gaines, Argues that City of Yes is a gift to real estate executives packaged as an affordable housing initiative, Believes the plan may increase housing costs rather than decrease them]"
Christopher Leon Johnson,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/christopher-leon-johnson-on-opposing-city-of-yes,18384.578,18570.53,Against,Queens,Unknown,[],"[The City of Yes initiative will result in unaffordable, luxury housing, The plan caters to developers and those with higher incomes (80-120% AMI) rather than those with lower incomes (30% AMI or less), The initiative will displace current residents, Community boards are influenced by lobbyists and developers, Calls for term limits and elected positions for community boards, Labels the initiative as 'City of Mess' instead of 'City of Yes']"
Sean Campion,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/sean-campion-from-citizens-budget-commission-on,18619.094,18805.365,For,Unknown,Unknown,[Citizens Budget Commission],"[City of Yes takes the right approach to New York City's housing crisis by proposing to build more housing everywhere of all types for everyone, Housing production in NYC has failed to keep pace with demand due to policy actions intended to slow new construction, Housing scarcity degrades New Yorkers' quality of life and is bad for the city's economy and fiscal health, Negative out-migration caused by housing affordability and availability crises cost the city over $300 million in tax revenue in 2022, Allowing growth could potentially boost city tax receipts by over $2 billion a year, In CBC's 2023 resident survey, housing ranked among the top issues facing New Yorkers, with fewer than 1 in 10 feeling that government is addressing their housing needs well, Building more housing will improve affordability, quality of life, strengthen the city's economy and competitiveness, The final zoning text needs to result in a meaningful increase in development capacity citywide to improve affordability and quality of life, The housing crisis is a citywide problem that demands a citywide response]"
Patrick Boyle,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/patrick-boyle-from-enterprise-community-partners,18834.428,19014.652,For,Unknown,Unknown,[Enterprise Community Partners],"[Support for the City of Yes proposal as a necessary component to address the housing crisis, Excitement about the universal affordability preference, Benefits for affordable housing developers, including nonprofit and MWBE Emerging Developers, Support for enabling conversion and adaptive reuse of buildings citywide, Potential benefits of combining the proposal with state-level tax incentives for office-to-residential conversions, Elimination of barriers to infill development, particularly beneficial for faith-based organizations, Support for transit-oriented development and town center zoning in lower density districts, Urging the city to develop term sheets and tax incentive programs for smaller sites to ensure affordable housing in lower density areas]"
Adam Roberts,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/adam-roberts-from-community-housing-improvement,19030.832,19170.035,For,Unknown,Unknown,[Community Housing Improvement Program (CHIP)],"[Support for the zoning text amendment, particularly additional floor area ratio for basements and cellars near transit, Potential for creating new affordable basement and cellar units in rent-stabilized buildings, Additional income from new units would help cover maintenance costs for rent-stabilized buildings facing financial crisis, Support for expansion of Universal Affordability Preference to create modern housing for current and new tenants, Need for addressing barriers to relocating current tenants to effectively implement the zoning text amendment, Importance of creating new rent-stabilized housing with modern accessibility features]"
Chloe Sarnoff,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/chloe-sarnoff-director-of-policy-research-and,19195.178,19379.732,For,Unknown,Unknown,[Robin Hood Foundation],"[Strong support for City of Yes for Housing Opportunity, New York City's housing and affordability crises have reached a breaking point, The housing crisis most severely harms the lowest income New Yorkers, City of Yes for Housing Opportunity is an essential part of solving the housing crisis, The initiative will create opportunities for low-income families with rental assistance vouchers to access newer units in higher opportunity neighborhoods, Support for accompanying efforts to improve the search process for voucher holders, City of Yes for Housing is a central component of a regional commitment to increase housing supply, Support for the initiative alongside efforts to increase stability for low-income New Yorkers]"
Alicia Boyd,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/alicia-boyd-crown-heights-resident-on-city,19468.314,19671.688,Against,Brooklyn,Crown Heights,[],"[The City Planning Commission doesn't consider the impact on children in development projects, Development near Brooklyn Botanic Gardens will negatively impact sunlight for a nearby playground, The Commission prioritizes development over affordable housing, The affordable housing being created is not truly affordable for the local community, The City Planning Commission consistently fails to protect the interests of local residents, The Commission approves 99% of applications, questioning its effectiveness, The development plans do not genuinely care about communities of color]"
Carol Marion,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/carol-marion-from-bayside-on-opposition-to-city-of,19720.637,19902.592,Against,Queens,Bayside,[],"[The plan does not address the diversity of NYC neighborhoods, It will destroy communities over time, It will not create affordable housing, It will replace owner-occupied housing with market-rate rental units, It will increase density without infrastructure improvements, The plan benefits rich developers, architects, and real estate developers, The city has not listened to community board feedback, One-size-fits-all approach doesn't work for diverse NYC neighborhoods, Against accessory dwelling units, Concerns about loss of green space and increased flooding, Lack of flexibility for different community needs]"
Roger Gendron,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/roger-gendron-president-of-new-hamilton-beach,19931.506,20123.432,Against,Queens,Hamilton Beach,[New Hamilton Beach Civic Association],"[Concerns about coastal flooding and sea level rise in low-lying areas of New York City, Potential increase in flood mitigation costs and insurance, Risk of displacement during extreme weather events, Inadequate safeguards in the City of Yes proposal to mitigate flooding risks, Challenges for emergency responders during flooding events, Request for recognition of all coastal communities as Special Coastal Risk Districts, Specific flooding concerns for Hamilton Beach and Howard Beach communities]"
Anita Laremont,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/anita-laremont-partner-at-fried-frank-law-firm-on,20170.943,20354.996,For,Unknown,Unknown,"[Fried Frank Law Firm, REBNY]","[Support for the City of Yes for Housing Opportunity proposal, Proposal facilitates housing development to address critical housing supply needs, Concern about the elimination of the voluntary inclusionary housing and inclusionary housing certificate program, Suggestion for a 15-year vesting period for existing certificates and an additional 10 years for their sale and use, Concern that transitioning to UAP in R10 districts may effectively result in down zoning, Urges careful consideration of rules to ensure they further housing development rather than diminish it]"
Bonnie Mohan,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/bonnie-mohan-cofounder-and-executive-director-of,20375.803,20535.889,For,Unknown,Unknown,[Health and Housing Consortium],"[Strong support for City of Yes for Housing Opportunity, Affordable and supportive housing is deeply needed across all boroughs, High numbers of people in shelters, on streets, or in unstable housing situations, Lack of affordable housing is a primary reason for families entering shelters, The consortium trains frontline workers on navigating NYC's homeless housing systems, Current housing vouchers are flawed and often not accepted by landlords, City of Yes plan is seen as a lifeline for those at risk of or experiencing homelessness, The plan is rooted in respect for communities and neighborhoods, Urges the city planning commission to support the plan to help build a New York where everyone can thrive]"
Pedro Rodriguez,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/pedro-rodriguez-from-queens-community-board-6-on,20551.828,20744.824,For,Queens,Forest Hills,[Queens Community Board 6],"[Support for City of Yes to address the housing crisis, Neighborhood character is defined by people, not buildings, Need for a regional solution to housing problems, not piecemeal approaches, Removal of parking minimums to allow for more diverse and affordable housing options, Concern for future generations' ability to afford housing in New York City, Opposition to misinformation about the proposal]"
Michael O'Reilly,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/michael-oreilly-candidate-for-state-senate-on-city,20777.264,20876.156,Against,Queens,Southeast Queens,[],"[Questions why the mayor invited illegal migrants to New York City during a housing crisis, Suggests that the City Planning Commission is not listening to the community's concerns, States that people in Queens are overwhelmingly against the City of Yes initiative, Criticizes the placement of migrant shelters in Southeast Queens]"
Diane Viggiano,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/diane-viggiano-from-old-town-civic-association-of,20985.121,21135.346,Against,Staten Island,Old Town,[Old Town Civic Association of Staten Island],"[Opposition to high-rise buildings along Staten Island Rapid Transit, Concern about promoting multifamily habitation in attics, basements, and garages, Opposition to building cottages in backyards, which could reduce light, air, and trees, Disagreement with eliminating parking space requirements for new construction, Worry about degradation of quality of life due to increased housing, traffic, and population, Concern about strain on infrastructure, educational and medical services, Request for a borough-specific plan instead of a one-size-fits-all approach, Suggestion to consider using empty buildings in Manhattan for housing, Appeal to preserve the 'American dream' of a peaceful place to live and raise families]"
David West,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/david-west-from-zoning-and-design-committee-on,21361.02,21551.219,For,Unknown,Unknown,[REBNY's Zoning and Design Committee],"[Supportive of the overall initiative, particularly changes in R6 through R9 districts, Concerns about height and setback changes in medium and high density districts, Issues with the proposed text regarding towers and street walls, Suggestion to exempt residential towers from certain provisions or modify encroachment zone limits, Request to restore all current exemptions for street walls, Concern that mandatory setbacks may make buildings more expensive and less efficient, Broad support for Housing Opportunity initiative with suggestions for improvement]"
Michele Birnbaum,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/michele-birnbaum-from-historic-park-avenue-on,21584.76,21791.512,Against,Manhattan,Upper East Side,[Historic Park Avenue],"[Zoning laws are important for avoiding chaos and preserving history, Removing height limits for new residential construction will increase carbon footprint and negatively impact light and air, The proposal lacks detail and will lower the standard of living, Concerns about apartments with shared bathrooms and mixing residential with commercial uses, Potential increase in Airbnb-style rentals in stable neighborhoods, Safety concerns about strangers in residential buildings due to mixed-use, Lack of proper ventilation for proposed home businesses like nail salons, Difficulty in enforcing time limits on home businesses]"
Jody Corry,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/jody-corry-resident-of-glendale-queens-on,21926.844,22101.406,Against,Queens,Glendale,[],"[The City of Yes initiative is wrong and will hurt innocent people, Glendale is a beautiful middle-class community with a strong sense of community, The quality of life in the neighborhood has been declining, The initiative will lead to overcrowding, loss of neighborhood character, and infrastructure problems, The city should focus on converting empty office buildings in Manhattan into apartments instead, The initiative is an assault on homeowners who have worked hard for their homes, The proposal is not equitable and will disrupt the lives of millions of people, Concerns about increased crime and safety issues in the neighborhood]"
Katherine Winters,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/katherine-winters-whitestone-resident-on,22116.117,22291.562,Against,Queens,Whitestone,[],"[Opposes the plan on behalf of herself and her neighbors, Importance of preserving single-family zoning for quality of life and diversity of neighborhoods, Single-family zoning areas are fragile and once changed, are difficult to reclaim, Questions the proposed benefits of the plan, Suggests focusing on underutilized areas already zoned for multifamily housing, Proposal does not address environmental impacts, parking needs, transportation issues, and school capacity, Does not adequately address low-income housing, senior housing, and homelessness, Believes the plan primarily benefits builders rather than residents]"
Daisy Calone,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/daisy-calone-bronx-resident-on-concerns-about-city,22391.074,22621.482,Against,Bronx,"LaSalle, Mayflower, Scottsdale",[],"[Opposes changes to R4 and R4A districts, Concerned about allowing higher density without parking or community input, Argues that one-size-fits-all zoning doesn't consider neighborhood character, Worries about the impact of half-mile Transit-Oriented Development (TOD) zones on the community, Concerned about the conversion of owner-occupied homes to apartment buildings, Highlights low homeownership rates in the Bronx, especially among minority communities, Requests a full analysis of the potential impact of the proposed zoning changes]"
Braden Crooks,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/braden-crooks-from-designing-the-we-on-historical,22636.307,22823.123,For,Unknown,Unknown,"[Designing the We, Undesign the Red Line]","[Historical context of structurally racist policies like redlining, Continuation of exclusionary practices through zoning regulations after the 1968 Fair Housing Act, Current community processes often benefit wealthier residents and perpetuate exclusion, Necessity of increasing affordable housing, Obligation to permanently further fair housing]"
Micah Hunter,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/micah-hunter-from-nhp-foundation-on-city-of-yes,22837.336,23017.105,For,Queens,Laurelton,"[NHP Foundation, HPD Housing Preservation Development, Administration of Children's Services]","[Personal experience of having to leave Bed-Stuy due to rising costs, Housing crisis and need for more affordable housing, Discrepancy between household growth and new housing units in NYC, Positive impact of affordable housing on families, Changing demographics affecting housing needs (e.g., baby boomers, workforce housing), City of Yes for Housing Opportunity proposal as a step to address housing issues]"
Rosa Chang,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/rosa-chang-member-of-manhattan-community-board-1,23042.209,23234.988,For,Manhattan,Unknown,[Manhattan Community Board 1],"[Support for City of Yes with conditions, Need for infrastructure improvements to keep up with increased density, Suggestion for a ZIP code set aside for civic infrastructural needs, Reduction of 10-year sunset provision for offsetting affordable housing to 5 years, Mandating essential building infrastructure for garbage collection, storage, and package rooms, 100% permanently affordable housing for large campus infill projects, Continued requirement for community board and community engagement, Support for eliminating or reducing the 680 square foot dwelling unit factor, Need for more emphasis on creating truly affordable housing, Addressing quality of life concerns and increasing need for physical infrastructure and hospital beds]"
Emily Klein,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/emily-klein-from-community-preservation,23247.469,23431.703,For,Unknown,Unknown,[Community Preservation Corporation],"[New York is experiencing a housing crisis with low vacancy rates and high rent burdens, Outdated zoning regulations and exclusionary practices have led to insufficient housing development, City of Yes for Housing Opportunity provides a citywide roadmap to build more housing in every neighborhood, The proposal updates zoning codes to meet current housing needs and promote equitable neighborhoods, Specific proposals include reintroducing Town Center zoning, allowing apartment buildings near transit, permitting accessory dwelling units, Introduction of Universal Affordability Preference to increase affordable housing, Removal of parking mandates, allowing conversion of non-residential buildings to housing, and permitting smaller shared housing, The proposals are designed to match existing neighborhood character while addressing outdated regulations, Urges the commission to approve City of Yes for Housing Opportunity as currently written]"
Marlee Busching,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/marlee-busching-from-hudson-companies-on-city-of,23527.596,23652.475,For,Brooklyn,Unknown,[Hudson Companies],"[City of Yes for Housing Opportunity can address New York City's housing and affordability crisis, Removing parking minimum requirements would allow consideration of more sites for development, Universal affordability preference will allow developers to increase density and address housing shortage, ADUs and town centers zoning could enhance low-density neighborhoods, City of Yes can lead to a more diverse and inclusive city]"
Joy Goldberg,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/joy-goldberg-on-the-affordability-gap-in-nycs,23873.885,24061.191,Against,Brooklyn,Unknown,[],"[The gap between median renter income and required income for affordable housing in NYC is significant, Current 'affordable' housing options on Housing Connect are not truly affordable for those in dire need, Many affordable housing options still require high incomes (often above 100% AMI), Questions who the City of Yes initiative is actually making housing affordable for, Criticizes the initiative as benefiting the 'lesser rich' rather than those truly in need, Expresses concern about rezoning and densification of the city, Suggests that dividing land for profit is harmful to the city]"
Jim Power,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/jim-power-from-kramer-levin-on-concerns-about-the,24080.678,24229.244,For,Unknown,Unknown,[Kramer Levin],"[Supports many components of the housing opportunity proposal, Concerned about the proposed UAP formula for zoning lots with existing buildings, The current proposal may disincentivize housing development in certain scenarios, Suggests an alternative approach where the required affordable percentage is applied only to the enlarged portion of the zoning lot, Argues that the alternative approach would incentivize developers to build out the full amount of residential floor area available, Recommends considering alternatives to the UAP formula for infill sites]"
Rev. Peter Cook,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/rev-peter-cook-of-new-york-state-council-of,24394.521,24579.129,For,Unknown,Unknown,"[New York State Council of Churches, Interfaith Affordable Housing Collaborative, Mayor's Task Force on Religious Properties]","[Support for the City of Yes text amendment, Importance of addressing zoning barriers to build affordable housing, Support for universal preference and increased density with 20% permanently affordable housing at 60% AMI, Support for provisions making it easier for congregations to build affordable housing, Support for landmark provision allowing congregations to transfer development rights, Caution against overselling the City of Yes initiative, Recognition that increasing supply is not the only solution for affordability]"
Michael Parley,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/michael-parley-president-of-development-consulting,24647.998,24827.988,For,Unknown,Unknown,[Development Consulting Services],"[Supports overall goals of housing opportunity, Protests the lack of expansion for off-site affordable housing option, Opposes mandating affordable housing in 12-15 FAR zones of Midtown and Lower Manhattan Special Districts, Argues that mandating affordable housing in high-value areas is economically unfeasible, Suggests making the residential FAR a flat 12 in Midtown and Lower Manhattan, Urges the commission to reconsider aspects of the housing opportunity proposal]"
Megan Fitzpatrick,https://citymeetings.nyc/city-planning-commission/2024-07-10-city-of-yes-public-hearing/megan-fitzpatrick-from-landmark-west-on-city-of,24862.727,25011.38,Against,Manhattan,Upper West Side,[Landmark West],"[City of Yes will not produce more environmentally conscious, viable, and affordable housing, The proposal will weaken housing standards and benefit developers at the expense of residents, It will not significantly increase affordable housing stock and will make affordable housing optional, The plan will increase market-rate development in already dense residential areas, It may create substandard and unsustainable housing, The proposal could accelerate gentrification, It may negatively impact quality of life due to increased traffic and density, The plan excludes public and City Council input from land use decisions, It loosens landmark transfer development rights, potentially allowing taller market-rate buildings, The organization supports changes that enhance livability and equity, which they feel this proposal does not do]"
